ëŒã«é“,èÍïó,ã«êî,ñ{èÍ,ãüëı,é©ïó,éùÇøì_,ÉhÉâ,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,ã«é˚éx,é˚éxîÕàÕ,ÉcÉÇ,ÉçÉì,ó¨ã«,ÉäÅ[É`,ÉäÅ[É`èÑñ⁄,ïõòI,É_É},ÉAÉKÉäèÑñ⁄,îN,åé,ì˙,ééçá
çÇã{,ìå,1,0,0,ìå,25000,32,6,7,12,14,18,22,24,25,27,28,33,33,36,-4000,-2,1,,,,,,,,2020,10,5,1
ê£åÀåF,ìå,1,0,0,ìÏ,25000,32,2,7,9,11,15,16,16,18,23,23,28,29,36,8000,2,1,,,,,1,,14,2020,10,5,1
ì‡êÏ,ìå,1,0,0,êº,25000,32,2,8,11,13,15,19,21,23,26,27,33,34,35,-2000,-1,1,,,,,,,,2020,10,5,1
ìÒäKì∞,ìå,1,0,0,ñk,25000,32,1,3,5,12,12,14,17,21,28,29,33,35,37,-2000,-1,1,,,,,,,,2020,10,5,1
çÇã{,ìå,2,0,0,ñk,21000,27,4,13,14,14,19,23,25,25,28,28,34,34,37,0,-1,,,,,,,,,2020,10,5,1
ê£åÀåF,ìå,2,0,0,ìå,33000,27,1,1,2,4,6,8,12,16,18,19,31,36,37,-8000,-2,,1,,,,,,,2020,10,5,1
ì‡êÏ,ìå,2,0,0,ìÏ,23000,27,1,9,11,12,17,18,19,21,22,30,27,27,29,0,-1,,,,,,,,,2020,10,5,1
ìÒäKì∞,ìå,2,0,0,êº,23000,27,1,5,9,9,14,15,20,18,21,21,24,32,35,8000,2,,1,,1,10,,,14,2020,10,5,1
çÇã{,ìå,3,0,0,êº,2100,25,5,7,11,12,20,17,24,25,27,32,33,34,36,0,-1,,,,,,,,,2020,10,5,1
ê£åÀåF,ìå,3,0,0,ñk,25000,25,3,6,13,15,16,16,16,18,18,24,34,35,37,8000,2,,1,,1,10,,,10,2020,10,5,1
ì‡êÏ,ìå,3,0,0,ìå,23000,25,2,5,6,8,8,8,14,16,32,33,34,35,36,-8000,-2,,1,,,,1,,,2020,10,5,1
ìÒäKì∞,ìå,3,0,0,ìÏ,31000,25,3,3,4,6,7,8,9,17,24,27,28,29,36,0,-1,,,,,,,,,2020,10,5,1
çÇã{,ìå,4,0,0,ìÏ,21000,17,2,4,5,8,13,17,27,29,31,32,32,33,33,1300,1,,1,,1,5,,,10,2020,10,5,1
ê£åÀåF,ìå,4,0,0,êº,33000,17,4,14,17,17,18,18,22,24,25,27,28,31,34,0,-1,,,,,,,,,2020,10,5,1
ì‡êÏ,ìå,4,0,0,ñk,15000,17,3,5,7,8,8,11,18,19,22,27,31,31,34,0,-1,,,,,,,,,2020,10,5,1
ìÒäKì∞,ìå,4,0,0,ìå,31000,17,1,4,7,11,15,23,24,25,30,26,29,32,34,-1300,-1,,1,,,,,,,2020,10,5,1
çÇã{,ìÏ,1,0,0,ìå,22300,25,7,8,15,16,17,21,22,22,24,25,33,33,37,12000,2,1,,,1,10,,,12,2020,10,5,1
ê£åÀåF,ìÏ,1,0,0,ìÏ,33000,25,3,9,9,11,12,16,18,19,19,22,30,32,36,-4000,-2,1,,,,,,,,2020,10,5,1
ì‡êÏ,ìÏ,1,0,0,êº,15000,25,2,2,3,9,11,13,25,26,26,29,29,31,37,-4000,-2,1,,,,,,,,2020,10,5,1
ìÒäKì∞,ìÏ,1,0,0,ñk,29700,25,3,5,7,8,11,12,17,18,24,28,31,33,36,-4000,-2,1,,,,,,,,2020,10,5,1
çÇã{,ìÏ,1,1,0,ìå,34300,19,5,7,9,13,14,16,23,27,27,28,31,34,37,-8300,-2,,1,,,,,,,2020,10,5,1
ê£åÀåF,ìÏ,1,1,0,ìÏ,29000,19,10,9,11,13,14,17,19,19,22,25,29,31,35,0,-1,,,,,,,,,2020,10,5,1
ì‡êÏ,ìÏ,1,1,0,êº,11000,19,4,#N/A,11,15,15,16,17,21,22,23,24,26,34,0,-1,,,,,,,,,2020,10,5,1
ìÒäKì∞,ìÏ,1,1,0,ñk,25700,19,2,2,3,6,6,7,8,14,17,18,24,33,36,8300,2,,1,,1,6,,,11,2020,10,5,1
çÇã{,ìÏ,2,0,0,ñk,26000,25,1,5,7,15,23,25,25,26,29,31,34,34,37,-2000,-1,,1,,,,2,,,2020,10,5,1
